mnemonic,dataset,category,description,frequency,last_updated
FPF-STRATEGY_EQUITY_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_BORROWING_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_BORROWING_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_EVENT_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FOF_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_FUTURES_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_BORROWING_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_BORROWING_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
